dexy - INFO - starting logging for dexy
dexy - INFO - using config file 'dexy.yaml'
dexy - INFO - (state:running) a0c391dc49c440fc9962168353cedde3 bundle:guide: running...
dexy - INFO - (state:running) ca75b38e46191d369efaaf1029c29094 doc:index.html|jinja: running...
dexy - INFO - (state:running) f2ab5fb218da8b84623f45579aa4ba11 bundle:sources: running...
dexy - INFO - (state:running) 9b4ba097823ce178a56b24e2d89f2f23 doc:mockup/mockup.html|htmlsections: running...
dexy - INFO - (state:running) 25e4390ad7148b90a089a387e78a98a9 doc:mockup/mockup.html|htmlsections|pyg: running...
dexy - INFO - (state:running) 0de2a7466f7039edd488923d4fafb6ce doc:mockup/style.css|idio: running...
dexy - INFO - (state:running) 32bb636196f91ed59d7a49190e26b42c bundle:assets: running...
dexy - INFO - (state:running) 80e10b04fdcd9b25c4a9b5c11f6a8a4a pattern:*/*.html: running...
dexy - INFO - (state:running) ad23218c2f777688ac447762ff08686a doc:mockup/mockup.html: running...
dexy - INFO - (state:running) 3a744c45c029c6d10855e3ea70e23f3e pattern:*/*.css: running...
dexy - INFO - (state:running) 478bc79231307fd808ea6056de6912d8 doc:mockup/style.css: running...
dexy - WARNING - reporter:output: WARNING overwriting file output/mockup/mockup.html
